Field,Config,spw,suffix,filename,bmaj,bmin,bpa,wcs_restfreq,minfreq,maxfreq,imsize,cell,threshold,niter,pblimit,pbmask,restfreq,nchan,width,start,chanchunks,deconvolver,weighting,robust,git_version,git_date,version,min,max,std,sum,mean,min_K,max_K,std_K,sum_K,mean_K,lowmin,lowmax,lowstd,lowmadstd,lowsum,lowmean,modmin,modmax,modstd,modsum,modmean,epsilon
,,$\mathrm{}$,,,prime\prime,prime\prime,rad,Hz,Hz,Hz,,,,,,,$\mathrm{}$,$\mathrm{}$,,,,,,,,,,Jy\beam^-1,Jy\beam,Jy\beam,Jy\beam,Jy\beam,K,K,K,K,K,Jy\beam,Jy\beam,Jy\beam,Jy\beam,Jy\beam,Jy\beam,Jy\pix,Jy\pix,Jy\pix,Jy\pix,Jy\pix,$\mathrm{}$
o,TM1,25,.image,uid___A001_X15a0_Xf4.s38_0.Sgr_A_star_sci.spw25.cube.I.iter1.image,2.73129784984186,1.88616739411962,-1.55187111154809,86200000000,85966426376.9,86433741343.6649,"(1440, 1350)","['0.3199999999999969 arcsec', '0.31999999999999895 arcsec']",,,,,86200000000,1915,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-0.0470121093094349,0.82867693901062,0.00453955129284992,22045.2116980553,7.78204839582392E-06,-1.50092516204732,26.4566318601615,0.144931313653597,703823.194200533,0.00024845241834784,-0.0470121093094349,0.82867693901062,0.00453955129284992,0.00430943829346431,22045.2116980553,7.78204839582392E-06,-0.0121539290994406,0.464726477861404,4.25319292024566E-05,387.73632023111,1.04152918864259E-07,0.725367385665525
o,TM1,29,.image,uid___A001_X15a0_Xf4.s38_0.Sgr_A_star_sci.spw29.cube.I.iter1.image,2.7219011312738,1.9320740799597,1.57009096051487,89188526000,89159381010.7,89217795525.0825,"(1440, 1350)","['0.3199999999999969 arcsec', '0.31999999999999895 arcsec']",,,,,89188526000,1915,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-0.183297574520111,0.487648844718933,0.0170569202360339,2444520.10140228,0.000871968967035632,-5.35495705227451,14.2464439417591,0.498310332513494,71415566.6854975,0.0254741852510419,-0.183297574520111,0.487648844718933,0.0170569202360339,0.0110448147619545,2444520.10140228,0.000871968967035632,-0.101774245500565,0.145919099450111,0.00043811066076366,41913.8163386583,1.12588016253152E-05,0.73361527067618
o,TM1,33,.image,uid___A001_X15a0_Xf4.s12_0.Sgr_A_star_sci.spw33.cube.I.iter1.image,2.04315660983769,1.55829717288795,1.45042018789711,98600000000,97666233013.2,99538422371.3532,"(1440, 1350)","['0.3199999999999969 arcsec', '0.31999999999999895 arcsec']",,,,,98600000000,3835,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-0.266793519258499,0.322663933038712,0.0039913017817769,289778.494309008,5.34156648728617E-05,-10.5332641358589,12.7390816810614,0.157580424105602,11440733.0055527,0.00210890170294288,-0.266793519258499,0.322663933038712,0.0039913017817769,0.00345307693422863,289778.494309008,5.34156648728617E-05,-0.314755350351334,0.482386291027069,0.000143063309199057,8188.17121597752,1.09831088147095E-06,1.16514943651275
o,TM1,27,.image,uid___A001_X15a0_Xf4.s38_0.Sgr_A_star_sci.spw27.cube.I.iter1.image,2.82030181261045,1.91062963978428,1.50421882020587,86900000000,86666482974.9,87133797941.6649,"(1440, 1350)","['0.3199999999999969 arcsec', '0.31999999999999895 arcsec']",,,,,86900000000,1915,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-0.0598716288805008,0.152762457728386,0.004694286324314,172850.631325245,6.11779721484814E-05,-1.79813375299643,4.58793816985263,0.14098421646129,5191249.34838526,0.00183736735941532,-0.0598716288805008,0.152762457728386,0.004694286324314,0.00425348214687302,172850.631325245,6.11779721484814E-05,-0.0384957082569599,0.0585283823311329,7.38421280896406E-05,2886.8892121762,7.7547013833183E-07,0.745310396460638
o,TM1,35,.image,uid___A001_X15a0_Xf4.s12_0.Sgr_A_star_sci.spw35.cube.I.iter1.image,1.91509715940704,1.52587166280452,1.48974287201259,100500000000,99561853215.6,101434042573.753,"(1440, 1350)","['0.3199999999999969 arcsec', '0.31999999999999895 arcsec']",,,,,100500000000,3835,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-0.677350878715515,0.897380590438843,0.00400068310925384,79009.5360217691,1.46520091048963E-05,-28.0481657098304,37.1592926152907,0.165662769957075,3271675.91957334,0.00060671948951391,-0.677350878715515,0.897380590438843,0.00400068310925384,0.00370770191008023,79009.5360217691,1.46520091048963E-05,-0.777137577533722,0.754800319671631,0.000150987251337525,2419.2586292997,3.24504459856383E-07,1.12330542399899
o,TM1,31,.image,uid___A001_X15a0_Xf4.s38_0.Sgr_A_star_sci.spw31.cube.I.iter1.image,2.9936032172788,2.07436653836187,-1.53725153176265,87925237000,87895964715.1,87954379229.5117,"(1440, 1350)","['0.3199999999999969 arcsec', '0.31999999999999895 arcsec']",,,,,87925237000,1915,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-0.173460781574249,0.42409160733223,0.0146093849998064,1466868.10857201,0.000520742246917374,-4.41579684127379,10.7961140441811,0.37191159609461,37342109.8510668,0.0132565525658678,-0.173460781574249,0.42409160733223,0.0146093849998064,0.0113704519194975,1466868.10857201,0.000520742246917374,-0.0806867480278015,0.118192411959171,0.000306066958589634,21037.4951038435,5.65104790635E-06,0.782135822778009
u,7M,22,.image,uid___A001_X15a0_X11a.s12_0.Sgr_A_star_sci.spw22.cube.I.iter1.image,17.4206341152183,10.2171307984756,1.45335270901982,87925237000,87885200757.8,87947544242.9813,"(240, 300)","['1.7999999999999903 arcsec', '1.7999999999999985 arcsec']",,,,,87925237000,2043,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-1.75449752807617,3.17227077484131,0.115013348153692,253806.308288574,0.00293921329092387,-1.558598667952,2.81807008840429,0.102171504012095,225467.501484683,0.00261103469611835,-1.75449752807617,3.17227077484131,0.115013348153692,0.0658171812838865,253806.308288574,0.00293921329092387,-0.654761493206024,1.27136898040771,0.00322991222427302,3977.74120330811,2.70418040144403E-05,1.26134550828643
u,7M,24,.image,uid___A001_X15a0_X11a.s12_0.Sgr_A_star_sci.spw24.cube.I.iter1.image,15.6961662256521,9.13653266277321,1.46930535392051,98600000000,97657402108.8,99529097405.2702,"(240, 300)","['1.7999999999999903 arcsec', '1.7999999999999985 arcsec']",,,,,98600000000,3834,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-1.20659399032593,2.2194128036499,0.0295754121389555,68831.5051383972,0.000456124503444634,-1.05780537020085,1.94573054500232,0.0259283819058635,60343.6917125174,0.000399878462094443,-1.20659399032593,2.2194128036499,0.0295754121389555,0.0179799229158145,68831.5051383972,0.000456124503444634,-0.649235129356384,0.904017865657806,0.00102696802674131,1350.63334476948,4.89274816252781E-06,1.30644031500363
u,7M,16,.image,uid___A001_X15a0_X11a.s12_0.Sgr_A_star_sci.spw16.cube.I.iter1.image,18.0922759209281,10.3866241584583,1.44951743370431,86200000000,85941929129.9,86440510588.5374,"(240, 300)","['1.7999999999999903 arcsec', '1.7999999999999985 arcsec']",,,,,86200000000,2043,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-0.320871889591217,0.755167365074158,0.0249871060647992,9113.98935127258,0.000104266691482251,-0.280900150200691,0.661094452824257,0.0218744055629946,7978.63901684096,9.12779531282916E-05,-0.320871889591217,0.755167365074158,0.0249871060647992,0.0228653273880507,9113.98935127258,0.000104266691482251,-0.144577488303185,0.301934540271759,0.000279379220480772,131.455124422908,8.93668926571136E-07,1.27048889729738
