Object	SPW	Product	X Length	Y Length	Num Channels	Obs RA [deg]	Obs Dec [deg]	B Maj	B Min	Position Angle	Min Freq [GHz]	Max Freq [GHz]	Pixel Size [arcsec]
Sgr_C	27	B	350	350	1917	266.1474247	-29.46525416	0.0006150887862	0.0004117051394	-79.56606215	112.2423801	112.4762853	0.2800000006
Sgr_C	25	A	288	288	1916	266.1474247	-29.46525416	0.0006297974454	0.0004806451665	-86.83591461	109.665331	109.8991207	0.3400000009
Sgr_C	25	B	350	350	1917	266.1474247	-29.46525416	0.0005923171013	0.0003990035438	-79.48211791	115.1544005	115.3883059	0.2800000006
Sgr_C	27	A	288	288	1917	266.1474247	-29.46525416	0.0006294451096	0.0004819953965	-86.84309595	110.0845226	110.3184344	0.3400000009
Sgr_C	31	B	350	350	1917	266.1474247	-29.46525416	0.0006687930557	0.0004506342279	-80.64517975	101.7811063	103.6522745	0.2800000006
Sgr_C	29	B	350	350	1917	266.1474247	-29.46525416	0.0006760321061	0.0004586552911	-80.44900513	100.0105449	101.8817129	0.2800000006
Sgr_C	29	A	288	288	1917	266.1474247	-29.46525416	0.0007041681277	0.0005458136899	-85.93598805	97.04120864	98.91239124	0.3400000009
Sgr_C	31	A	288	288	1916	266.1474247	-29.46525416	0.0007128328747	0.0005435887641	-81.11036682	98.90610337	99.13989154	0.3400000009
Arches	27	B	350	350	1917	266.4370125	-28.80704884	0.0005960525559	0.000412317398	-80.8686643	112.2423454	112.4762508	0.2800000006
Arches	31	A	288	288	1916	266.4370125	-28.80704884	0.0007041240255	0.0005457379214	-82.76406791	98.90607105	99.13985911	0.3400000009
Arches	25	B	350	350	1917	266.4370125	-28.80704884	0.0005727542743	0.0004006659167	-79.53498348	115.1543626	115.3882683	0.2800000006
Arches	29	A	288	288	1917	266.4370125	-28.80704884	0.0006955972265	0.0005474267594	-87.99407998	97.04117335	98.91235523	0.3400000009
Arches	31	B	350	350	1917	266.4370125	-28.80704884	0.0006469962332	0.00045083844	-81.35208893	101.7810706	103.6522384	0.2800000006
Arches	25	A	288	288	1916	266.4370125	-28.80704884	0.0006223881245	0.000482374231	-88.60224152	109.6652951	109.8990847	0.3400000009
Arches	29	B	350	350	1917	266.4370125	-28.80704884	0.0006551588244	0.0004595164458	-81.13600922	100.0105098	101.8816774	0.2800000006
